[18/11/2018 08:56:09], epoch: 106, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:56:30], epoch: 107, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:56:51], epoch: 108, t/smpl: 0.035s, net_loss: -1.000 
[18/11/2018 08:57:12], epoch: 109, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:57:33], epoch: 110, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:57:55], epoch: 111, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:58:16], epoch: 112, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:58:37], epoch: 113, t/smpl: 0.021s, net_loss: -1.000 
[18/11/2018 08:58:58], epoch: 114, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:59:19], epoch: 115, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:59:40], epoch: 116, t/smpl: 0.035s, net_loss: -1.000 
[18/11/2018 09:00:02], epoch: 117, t/smpl: 0.002s, net_loss: -1.000 
[18/11/2018 09:00:23], epoch: 118, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 09:00:44], epoch: 119, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 09:01:05], epoch: 120, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:01:27], epoch: 121, t/smpl: 0.012s, net_loss: -1.000 
[18/11/2018 09:01:48], epoch: 122, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 09:02:09], epoch: 123, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:02:30], epoch: 124, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:02:51], epoch: 125, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:03:14], epoch: 126, t/smpl: 0.036s, net_loss: -1.000 
[18/11/2018 09:03:36], epoch: 127, t/smpl: 0.006s, net_loss: -1.000 
[18/11/2018 09:03:57], epoch: 128, t/smpl: 0.030s, net_loss: -1.000 
[18/11/2018 09:04:18], epoch: 129, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 09:04:40], epoch: 130, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:05:01], epoch: 131, t/smpl: 0.035s, net_loss: -1.000 
[18/11/2018 09:05:23], epoch: 132, t/smpl: 0.015s, net_loss: -1.000 
[18/11/2018 09:05:44], epoch: 133, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:06:05], epoch: 134, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:06:26], epoch: 135, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:06:47], epoch: 136, t/smpl: 0.034s, net_loss: -1.000 
[18/11/2018 09:07:08], epoch: 137, t/smpl: 0.035s, net_loss: -1.000 
[18/11/2018 09:07:30], epoch: 138, t/smpl: 0.010s, net_loss: -1.000 
[18/11/2018 09:07:51], epoch: 139, t/smpl: 0.008s, net_loss: -1.000 
[18/11/2018 09:08:12], epoch: 140, t/smpl: 0.031s, net_loss: -1.000 
[18/11/2018 09:08:34], epoch: 141, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 09:08:55], epoch: 142, t/smpl: 0.003s, net_loss: -1.000 
